name,language,stars,forks,creation_date,last_commit_date,repo_url
node,JavaScript,108237,29892,2014-11-26T19:57:11Z,2024-12-08T00:37:38Z,https://github.com/nodejs/node
Microsoft-Activation-Scripts,Batchfile,106864,10346,2020-01-12T23:03:34Z,2024-11-11T08:58:40Z,https://github.com/massgravel/Microsoft-Activation-Scripts
axios,JavaScript,105936,10971,2014-08-18T22:30:27Z,2024-12-06T09:30:18Z,https://github.com/axios/axios
three.js,JavaScript,103162,35425,2010-03-23T18:58:01Z,2024-12-07T23:10:31Z,https://github.com/mrdoob/three.js
create-react-app,JavaScript,102865,26892,2016-07-17T14:55:11Z,2024-08-27T17:09:10Z,https://github.com/facebook/create-react-app
hello-algo,Java,102353,12832,2022-11-04T11:08:34Z,2024-12-07T22:06:27Z,https://github.com/krahets/hello-algo
TypeScript,TypeScript,101373,12544,2014-06-17T15:28:39Z,2024-12-07T18:28:10Z,https://github.com/microsoft/TypeScript
ollama,Go,101268,8094,2023-06-26T19:39:32Z,2024-12-07T02:35:08Z,https://github.com/ollama/ollama
nodebestpractices,Dockerfile,100831,10215,2017-09-15T08:33:19Z,2024-07-04T03:41:45Z,https://github.com/goldbergyoni/nodebestpractices
rust,Rust,99325,12827,2010-06-16T20:39:03Z,2024-12-08T00:25:23Z,https://github.com/rust-lang/rust
deno,Rust,98345,5416,2018-05-15T01:34:26Z,2024-12-06T23:24:51Z,https://github.com/denoland/deno
angular,TypeScript,96436,25598,2014-09-18T16:12:01Z,2024-12-06T22:38:30Z,https://github.com/angular/angular
terminal,C++,96004,8352,2017-08-11T18:38:22Z,2024-12-07T03:05:30Z,https://github.com/microsoft/terminal
langchain,Jupyter Notebook,95878,15566,2022-10-17T02:58:36Z,2024-12-07T19:33:40Z,https://github.com/langchain-ai/langchain
HelloGitHub,Python,95471,9709,2016-05-04T06:24:11Z,2024-11-28T01:26:31Z,https://github.com/521xueweihan/HelloGitHub
material-ui,TypeScript,94160,32351,2014-08-18T19:11:54Z,2024-12-08T01:45:41Z,https://github.com/mui/material-ui
ant-design,TypeScript,92788,50185,2015-04-24T15:37:24Z,2024-12-08T01:08:21Z,https://github.com/ant-design/ant-design
yt-dlp,Python,92144,7163,2020-10-26T04:22:55Z,2024-12-06T16:13:30Z,https://github.com/yt-dlp/yt-dlp
clean-code-javascript,JavaScript,91898,12327,2016-11-25T22:25:41Z,2024-07-29T07:24:37Z,https://github.com/ryanmcdermott/clean-code-javascript
godot,C++,91685,21291,2014-01-04T16:05:36Z,2024-12-06T15:16:17Z,https://github.com/godotengine/godot
free-for-dev,HTML,91014,9824,2015-03-18T21:06:26Z,2024-12-07T16:04:56Z,https://github.com/ripienaar/free-for-dev
java-design-patterns,Java,90220,26679,2014-08-09T16:45:18Z,2024-12-07T18:34:43Z,https://github.com/iluwatar/java-design-patterns
puppeteer,TypeScript,89039,9095,2017-05-09T22:16:13Z,2024-12-08T03:26:01Z,https://github.com/puppeteer/puppeteer
papers-we-love,Shell,88634,5753,2013-12-15T14:31:41Z,2024-11-08T18:55:54Z,https://github.com/papers-we-love/papers-we-love
vue-element-admin,Vue,88192,30487,2017-04-17T03:35:49Z,2024-10-24T11:25:46Z,https://github.com/PanJiaChen/vue-element-admin
frp,Go,87332,13437,2015-12-21T15:24:59Z,2024-12-02T03:56:52Z,https://github.com/fatedier/frp
excalidraw,TypeScript,87123,8267,2020-01-02T01:04:43Z,2024-12-07T16:51:16Z,https://github.com/excalidraw/excalidraw
iptv,JavaScript,87091,2763,2018-11-14T22:00:57Z,2024-12-08T00:12:28Z,https://github.com/iptv-org/iptv
Awesome-Hacking,,86339,8991,2016-03-30T15:47:10Z,2024-08-22T10:49:33Z,https://github.com/Hack-with-Github/Awesome-Hacking
tauri,Rust,86165,2606,2019-07-13T09:09:37Z,2024-12-05T12:53:28Z,https://github.com/tauri-apps/tauri
thefuck,Python,85738,3437,2015-04-08T15:08:04Z,2024-07-19T14:56:13Z,https://github.com/nvbn/thefuck
every-programmer-should-know,,85486,7900,2017-08-24T13:18:26Z,2024-08-06T12:01:28Z,https://github.com/mtdvio/every-programmer-should-know
storybook,TypeScript,84844,9347,2016-03-18T04:23:44Z,2024-12-07T09:38:59Z,https://github.com/storybookjs/storybook
pytorch,Python,84819,22834,2016-08-13T05:26:41Z,2024-12-08T03:29:17Z,https://github.com/pytorch/pytorch
neovim,Vim Script,83926,5727,2014-01-31T13:39:22Z,2024-12-08T01:25:44Z,https://github.com/neovim/neovim
tailwindcss,TypeScript,83764,4239,2017-10-06T14:59:14Z,2024-12-06T19:33:13Z,https://github.com/tailwindlabs/tailwindcss
Web-Dev-For-Beginners,JavaScript,83739,12407,2020-11-10T02:44:00Z,2024-11-11T20:05:38Z,https://github.com/microsoft/Web-Dev-For-Beginners
django,Python,81360,31912,2012-04-28T02:47:18Z,2024-12-06T11:53:54Z,https://github.com/django/django
app-ideas,,81158,9611,2019-02-25T18:36:56Z,2024-08-16T09:41:10Z,https://github.com/florinpop17/app-ideas
animate.css,CSS,80996,16230,2011-10-12T10:07:38Z,2024-07-29T19:34:21Z,https://github.com/animate-css/animate.css
nvm,Shell,80829,8052,2010-04-15T17:47:47Z,2024-11-23T20:12:30Z,https://github.com/nvm-sh/nvm
realworld,TypeScript,80759,7364,2016-02-26T20:49:53Z,2024-12-02T17:20:18Z,https://github.com/gothinkster/realworld
svelte,JavaScript,80381,4285,2016-11-20T18:13:05Z,2024-12-07T22:35:48Z,https://github.com/sveltejs/svelte
bitcoin,C++,80193,36512,2010-12-19T15:16:43Z,2024-12-06T11:38:53Z,https://github.com/bitcoin/bitcoin
opencv,C++,79503,55865,2012-07-19T09:40:17Z,2024-12-07T07:30:03Z,https://github.com/opencv/opencv
gin,Go,79335,8037,2014-06-16T23:57:25Z,2024-11-15T15:54:06Z,https://github.com/gin-gonic/gin
laravel,PHP,79007,24103,2011-06-08T03:06:08Z,2024-12-02T22:11:45Z,https://github.com/laravel/laravel
